"","country_name","country_code","wals_code","X1","iso_lang_code","language_name","genus","subfamily","family","lsbranch","ssbranch","sbranch","mbranch","stock","elev_ft","elev_m","latitude","longitude","secondary_country","area","macroarea","continent","glot_features","cv_ratio","tones","rangesize","population","vehicularity","L2prop","H","H_unigram","lang.count","lang.percent","established.langs","immigrant.langs","total.speakers","mean.speakers","median.speakers","diversity.index","div.coverage","GDP"
"1","Afghanistan","AF","mog","mhj","mhj","Moghol","Mongolic",NA,"Altaic",NA,NA,NA,NA,"Mongolic",2769,843.9912,35,62,NA,"Inner Asia","Eurasia","N-C Asia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",60.63534489,200,0,0,NA,NA,42,0.59,41,1,23352300,569568,16500,0.796,0.98,552
"2","Angola","AO","luv","lue","lue","Luvale","Bantoid","Benue-Congo","Niger-Congo",NA,NA,"Bantu (narrow)","Bantoid","Benue-Congo",3553.1,1082.98488,-12,22,NA,"S Africa","Africa","Africa","1 - No glottalized consonants","3 - Average","2 - Simple tone system",106175.9851,632000,1,NA,NA,NA,47,0.66,46,1,24288770,528017,30000,0.745,0.98,3437
"3","Argentina","AR","teh","teh","teh","Tehuelche","Chon Proper",NA,"Chon",NA,NA,NA,NA,"Chon",337.9,102.99192,-48,-68,NA,"SE South America","South America","S America","2 - Ejectives only","5 - High","1 - No tones",24196.31154,4,0,0,NA,NA,40,0.56,24,16,46160150,1318861,5120,0.155,0.88,11688
"4","Armenia","AM","arm","hye","hye","Armenian (Eastern)","Armenian",NA,"Indo-European",NA,NA,"Armenian","Greek-Armenian","Indo-European",6184.4,1885.00512,40,45,NA,"Greater Mesopotamia","Eurasia","W and SW Eurasia","2 - Ejectives only","4 - Moderately high","1 - No tones",36780.92778,4684400,1,NA,1.813120246,10.20526123,14,0.2,8,6,3036180,276016,8850,0.049,0.79,4212
"5","Australia","AU","mpa","mwf","mwf","Murrinh-Patha","Murrinh-Patha","Daly","Southern Daly",NA,NA,NA,NA,"Southern Daly",0,0,-14.66666667,129.6666667,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",4241.105918,1430,0,0,NA,7.832343578,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"6","Australia","AU","amp","aer","aer","Arrernte (Mparntwe)","Central Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,NA,"Arandic","Pama-Nyungan",836.6,254.99568,-24,136,NA,"S Australia","Australia","Australia","1 - No glottalized consonants","5 - High","1 - No tones",32665.9081,3820,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"7","Australia","AU","pit","pjt","pjt","Pitjantjatjara","Western Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,"Nyungic","Southwestern Pama-Nyungan","Pama-Nyungan",2608.3,795.00984,-26,130,NA,"S Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",336427.3019,2120,0,0.158227846,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"8","Australia","AU","mrt","vma","vma","Martuthunira","Western Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,"Ngayardic","Southwestern Pama-Nyungan","Pama-Nyungan",23,7.0104,-20.83333333,116.5,NA,"S Australia","Australia","Australia","1 - No glottalized consonants","5 - High","1 - No tones",1833.97017,5,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"9","Australia","AU","myi","mpc","mpc","Mangarrayi","Mangarrayi",NA,"Mangarrayi-Maran",NA,NA,NA,NA,"Mangarayan",344.5,105.0036,-14.66666667,133.5,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",6976.610832,50,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"10","Australia","AU","kay","gyd","gyd","Kayardild","Tangkic",NA,"Tangkic","South Wellesley",NA,"South Wellesley","Southern Tangkic","Tangkic",0,0,-17.05,139.5,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",148.5153365,150,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"11","Australia","AU","yid","yii","yii","Yidiny","Northern Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,NA,"Yidinyic","Pama-Nyungan",42.7,13.01496,-17,145.75,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",641.0359242,12,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
