"","LID","ISO639.3","language","alt.language.name","language.search","lsbranch","ssbranch","sbranch","mbranch","stock","alt.stock.name","stock.search","longitude","latitude","area","continent"
"1",199,"naq","Nama","Nama, Khoekhoe","Nama, Nama, Khoekhoe",NA,NA,NA,"Khoekhoe","Kwadi-Khoe","Central Khoisan","Kwadi-Khoe, Central Khoisan",18,-25.5,"S Africa","Africa"
"2",148,"knw","!Kung","!Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka","!Kung, !Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka",NA,NA,NA,NA,"Ju","Northern Khoisan","Ju, Northern Khoisan",18,-19.67,"S Africa","Africa"
"3",94,"hts","Hadza","Hadza","Hadza, Hadza",NA,NA,NA,NA,"Hadza",NA,"Hadza",35.17,-3.75,"S Africa","Africa"
"4",347,"sad","Sandawe","Sandawe","Sandawe, Sandawe",NA,NA,NA,NA,"Sandawe",NA,"Sandawe",35,-5,"S Africa","Africa"
"5",151,"kwz","Kwadi","Kwadi, Cuepe, Curoca","Kwadi, Kwadi, Cuepe, Curoca",NA,NA,NA,"Kwadi","Kwadi-Khoe","Central Khoisan","Kwadi-Khoe, Central Khoisan",12,-16,"S Africa","Africa"
"6",323,"ras","Orig","Tegali,Orig, Rashad (Kom, Ngakom, Kome)","Orig, Tegali,Orig, Rashad (Kom, Ngakom, Kome)",NA,NA,NA,NA,"Kordofanian",NA,"Kordofanian",31,13,"African Savannah","Africa"
"7",75,"ewe","Ewe","Ewe","Ewe, Ewe",NA,NA,NA,"Gbe","Kwa",NA,"Kwa",0.42,6.33,"African Savannah","Africa"
"8",172,"mnk","Mandinka","Mandinka","Mandinka, Mandinka",NA,NA,NA,"West Mande","Mande",NA,"Mande",-15.67,15,"African Savannah","Africa"
"9",80,"fub","Fula","Fula","Fula, Fula",NA,NA,NA,NA,"North Atlantic",NA,"North Atlantic",-9,13,"African Savannah","Africa"
"10",305,"ijc","Ijo","Ijo, Izon","Ijo, Ijo, Izon",NA,NA,NA,NA,"Ijoid",NA,"Ijoid",5.4,4.55,"African Savannah","Africa"
"11",85,"gbp","Gbeya","Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa","Gbeya, Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",NA,NA,NA,NA,"Adamawa-Ubangi",NA,"Adamawa-Ubangi",15,5,"African Savannah","Africa"
"12",165,"lug","Luganda","Luganda","Luganda, Luganda",NA,NA,"Bantu (narrow)","Bantoid","Benue-Congo",NA,"Benue-Congo",32.17,0.5,"S Africa","Africa"
"13",123,"kau, knc","Kanuri","Kanuri","Kanuri, Kanuri",NA,NA,NA,NA,"Saharan",NA,"Saharan",13,12,"African Savannah","Africa"
"14",81,"fvr","Fur","Fur , For","Fur, Fur , For",NA,NA,NA,NA,"Fur",NA,"Fur",25,13.5,"African Savannah","Africa"
"15",111,"ikx","Ik","Ik","Ik, Ik",NA,NA,NA,NA,"Kuliak",NA,"Kuliak",34.17,3.75,"S Africa","Africa"
"16",207,"nrb","Nera","Nara , Nera","Nera, Nara , Nera",NA,NA,NA,NA,"Nera",NA,"Nera",37.58,15.08,"Greater Abyssinia","Africa"
"17",69,"kzh","Nubian","Nubian, Dongolese","Nubian, Nubian, Dongolese",NA,NA,NA,NA,"Nubian",NA,"Nubian",30.5,19,"N Africa","Africa"
"18",159,"laj","Lango","Lango","Lango, Lango",NA,"Southern Lwo","Lwo","Western Nilotic","Nilotic",NA,"Nilotic",33,2.17,"S Africa","Africa"
"19",167,"mas","Maa","Maa, Maasai","Maa, Maa, Maasai",NA,NA,"Lotuko-Maa","Eastern Nilotic","Nilotic",NA,"Nilotic",36,-3,"S Africa","Africa"
"20",299,"niq","Nandi","Nandi, Naandi, Cemual","Nandi, Nandi, Naandi, Cemual",NA,NA,NA,"Southern Nilotic","Nilotic",NA,"Nilotic",35,1,"S Africa","Africa"
