wals code,name,value,description,latitude,longitude,genus,family,area
kiw, Kiwai (Southern),2,Moderately low,-8,143.5,Kiwaian,Kiwaian,Phonology
xoo,!Xóõ,5,High,-24,21.5,Tu,Tu,Phonology
ani,//Ani,5,High,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Phonology
abi,Abipón,3,Average,-29,-61,South Guaicuruan,Guaicuruan,Phonology
abk,Abkhaz,5,High,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Phonology
acm,Achumawi,3,Average,41.5,-121,Palaihnihan,Hokan,Phonology
ach,Aché,2,Moderately low,-25.25,-55.16666667,Tupi-Guaraní,Tupian,Phonology
aco,Acoma,5,High,34.91666667,-107.5833333,Keresan,Keresan,Phonology
adz,Adzera,4,Moderately high,-6.25,146.25,Oceanic,Austronesian,Phonology
agh,Aghem,2,Moderately low,6.666666667,10,Bantoid,Niger-Congo,Phonology
aht,Ahtna,4,Moderately high,62,-145,Athapaskan,Na-Dene,Phonology
aik,Aikaná,3,Average,-12.66666667,-60.66666667,Aikaná,Aikaná,Phonology
ain,Ainu,2,Moderately low,43,143,Ainu,Ainu,Phonology
aiz,Aizi,2,Moderately low,5.25,-4.5,Kru,Niger-Congo,Phonology
akn,Akan,2,Moderately low,6.5,-1.25,Kwa,Niger-Congo,Phonology
akw,Akawaio,1,Low,6,-59.5,Cariban,Cariban,Phonology
abm,Alabama,4,Moderately high,32.33333333,-87.41666667,Muskogean,Muskogean,Phonology
ala,Alamblak,2,Moderately low,-4.666666667,143.3333333,Sepik Hill,Sepik,Phonology
alw,Alawa,4,Moderately high,-15.16666667,134.25,Alawa,Mangarrayi-Maran,Phonology
alb,Albanian,3,Average,41,20,Albanian,Indo-European,Phonology
aea,Aleut (Eastern),5,High,54.75,-164,Aleut,Eskimo-Aleut,Phonology
ald,Alladian,3,Average,5.166666667,-4.333333333,Kwa,Niger-Congo,Phonology
amc,Amahuaca,3,Average,-10.5,-72.5,Panoan,Panoan,Phonology
ame,Amele,3,Average,-5.25,145.5833333,Madang,Trans-New Guinea,Phonology
amh,Amharic,4,Moderately high,10,38,Semitic,Afro-Asiatic,Phonology
amo,Amo,2,Moderately low,10.33333333,8.666666667,Kainji,Niger-Congo,Phonology
amu,Amuesha,5,High,-10.5,-75.41666667,Yanesha',Arawakan,Phonology
amz,Amuzgo,3,Average,16.83333333,-98,Amuzgoan,Oto-Manguean,Phonology
adk,Andoke,1,Low,-0.666666667,-72,Andoke,Andoke,Phonology
ant,Angaataha,1,Low,-7.216666667,146.25,Angan,Trans-New Guinea,Phonology
anc,Angas,4,Moderately high,9.5,9.5,West Chadic,Afro-Asiatic,Phonology
ao,Ao,2,Moderately low,26.58333333,94.66666667,Kuki-Chin,Sino-Tibetan,Phonology
api,Apinayé,1,Low,-5.5,-48,Ge-Kaingang,Macro-Ge,Phonology
apu,Apurinã,3,Average,-9,-67,Purus,Arawakan,Phonology
arb,Arabela,2,Moderately low,-2,-75.16666667,Zaparoan,Zaparoan,Phonology
aeg,Arabic (Egyptian),4,Moderately high,30,31,Semitic,Afro-Asiatic,Phonology
ana,Araona,4,Moderately high,-12.33333333,-67.75,Tacanan,Tacanan,Phonology
arp,Arapesh (Mountain),2,Moderately low,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,5,High,42,46.83333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),4,Moderately high,40,45,Armenian,Indo-European,Phonology
amp,Arrernte (Mparntwe),5,High,-24,136,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,1,Low,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,Phonology
ata,Atayal,3,Average,24.5,121.3333333,Atayalic,Austronesian,Phonology
ava,Avar,5,High,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awp,Awa Pit,3,Average,1.5,-78.25,Barbacoan,Barbacoan,Phonology
awn,Awngi,3,Average,10.83333333,36.66666667,Central Cushitic,Afro-Asiatic,Phonology
aym,Aymara (Central),5,High,-17,-69,Aymaran,Aymaran,Phonology
aze,Azerbaijani,2,Moderately low,40.5,48.5,Turkic,Altaic,Phonology
bag,Bagirmi,3,Average,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Phonology
bai,Bai,1,Low,26,100,Bai,Sino-Tibetan,Phonology
baj,Bajau (Sama),3,Average,-4.333333333,123,Sama-Bajaw,Austronesian,Phonology
bki,Bakairí,2,Moderately low,-14,-55,Cariban,Cariban,Phonology
bam,Bambara,3,Average,12.5,-7.5,Western Mande,Mande,Phonology
byu,Bandjalang (Yugumbir),3,Average,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
brd,Bardi,3,Average,-16.58333333,122.9166667,Nyulnyulan,Nyulnyulan,Phonology
brb,Bariba,2,Moderately low,10,2.5,Southern-Central Gur,Niger-Congo,Phonology
bsk,Bashkir,3,Average,53,58,Turkic,Altaic,Phonology
bsq,Basque,4,Moderately high,43,-3,Basque,Basque,Phonology
bkr,Batak (Karo),2,Moderately low,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
bto,Batak (Toba),3,Average,2.5,99,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
baw,Bawm,4,Moderately high,22.5,92.25,Kuki-Chin,Sino-Tibetan,Phonology
bee,Beembe,3,Average,-3.916666667,14.08333333,Bantoid,Niger-Congo,Phonology
bej,Beja,3,Average,18,36,Beja,Afro-Asiatic,Phonology
bco,Bella Coola,5,High,52.5,-126.6666667,Bella Coola,Salishan,Phonology
ben,Bengali,3,Average,24,90,Indic,Indo-European,Phonology
bma,Berber (Middle Atlas),5,High,33,-5,Berber,Afro-Asiatic,Phonology
ber,Berta,4,Moderately high,10.33333333,34.66666667,Berta,Berta,Phonology
bir,Birom,3,Average,9.666666667,8.833333333,Platoid,Niger-Congo,Phonology
bis,Bisa,3,Average,11.5,-0.5,Eastern Mande,Mande,Phonology
bbf,Bobo Madaré (Northern),3,Average,12.41666667,-4.333333333,Western Mande,Mande,Phonology
bod,Bodo,2,Moderately low,26.83333333,92,Bodo-Garo,Sino-Tibetan,Phonology
brr,Bororo,1,Low,-16,-57,Bororoan,Bororoan,Phonology
brh,Brahui,4,Moderately high,28.5,67,Northern Dravidian,Dravidian,Phonology
bra,Brao,3,Average,14.16666667,107.5,Bahnaric,Austro-Asiatic,Phonology
bre,Breton,3,Average,48,-3,Celtic,Indo-European,Phonology
bri,Bribri,3,Average,9.416666667,-83,Talamanca,Chibchan,Phonology
brw,Bru (Western),1,Low,16.75,104.75,Katuic,Austro-Asiatic,Phonology
bul,Bulgarian,3,Average,42.5,25,Slavic,Indo-European,Phonology
bua,Burarra,3,Average,-12.25,134.5833333,Burarran,Mangrida,Phonology
brm,Burmese,3,Average,21,96,Burmese-Lolo,Sino-Tibetan,Phonology
bur,Burushaski,5,High,36.5,74.5,Burushaski,Burushaski,Phonology
bet,Bété,1,Low,6.25,-6.25,Kru,Niger-Congo,Phonology
