wals code,name,value,description,latitude,longitude,genus,family,area
kiw, Kiwai (Southern),1,No glottalized consonants,-8,143.5,Kiwaian,Kiwaian,Phonology
xoo,!Xóõ,6,Ejectives and glottalized resonants,-24,21.5,Tu,Tu,Phonology
ani,//Ani,2,Ejectives only,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Phonology
abi,Abipón,1,No glottalized consonants,-29,-61,South Guaicuruan,Guaicuruan,Phonology
abk,Abkhaz,2,Ejectives only,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Phonology
acm,Achumawi,1,No glottalized consonants,41.5,-121,Palaihnihan,Hokan,Phonology
ach,Aché,1,No glottalized consonants,-25.25,-55.16666667,Tupi-Guaraní,Tupian,Phonology
aco,Acoma,6,Ejectives and glottalized resonants,34.91666667,-107.5833333,Keresan,Keresan,Phonology
adz,Adzera,1,No glottalized consonants,-6.25,146.25,Oceanic,Austronesian,Phonology
agh,Aghem,1,No glottalized consonants,6.666666667,10,Bantoid,Niger-Congo,Phonology
aht,Ahtna,2,Ejectives only,62,-145,Athapaskan,Na-Dene,Phonology
aik,Aikaná,1,No glottalized consonants,-12.66666667,-60.66666667,Aikaná,Aikaná,Phonology
ain,Ainu,1,No glottalized consonants,43,143,Ainu,Ainu,Phonology
aiz,Aizi,3,Implosives only,5.25,-4.5,Kru,Niger-Congo,Phonology
akn,Akan,1,No glottalized consonants,6.5,-1.25,Kwa,Niger-Congo,Phonology
akw,Akawaio,1,No glottalized consonants,6,-59.5,Cariban,Cariban,Phonology
abm,Alabama,1,No glottalized consonants,32.33333333,-87.41666667,Muskogean,Muskogean,Phonology
ala,Alamblak,1,No glottalized consonants,-4.666666667,143.3333333,Sepik Hill,Sepik,Phonology
alw,Alawa,1,No glottalized consonants,-15.16666667,134.25,Alawa,Mangarrayi-Maran,Phonology
alb,Albanian,1,No glottalized consonants,41,20,Albanian,Indo-European,Phonology
aea,Aleut (Eastern),1,No glottalized consonants,54.75,-164,Aleut,Eskimo-Aleut,Phonology
ald,Alladian,1,No glottalized consonants,5.166666667,-4.333333333,Kwa,Niger-Congo,Phonology
amc,Amahuaca,1,No glottalized consonants,-10.5,-72.5,Panoan,Panoan,Phonology
ame,Amele,1,No glottalized consonants,-5.25,145.5833333,Madang,Trans-New Guinea,Phonology
amh,Amharic,2,Ejectives only,10,38,Semitic,Afro-Asiatic,Phonology
amo,Amo,1,No glottalized consonants,10.33333333,8.666666667,Kainji,Niger-Congo,Phonology
amu,Amuesha,1,No glottalized consonants,-10.5,-75.41666667,Yanesha',Arawakan,Phonology
amz,Amuzgo,1,No glottalized consonants,16.83333333,-98,Amuzgoan,Oto-Manguean,Phonology
adk,Andoke,1,No glottalized consonants,-0.666666667,-72,Andoke,Andoke,Phonology
ant,Angaataha,1,No glottalized consonants,-7.216666667,146.25,Angan,Trans-New Guinea,Phonology
anc,Angas,3,Implosives only,9.5,9.5,West Chadic,Afro-Asiatic,Phonology
ao,Ao,1,No glottalized consonants,26.58333333,94.66666667,Kuki-Chin,Sino-Tibetan,Phonology
api,Apinayé,1,No glottalized consonants,-5.5,-48,Ge-Kaingang,Macro-Ge,Phonology
apu,Apurinã,1,No glottalized consonants,-9,-67,Purus,Arawakan,Phonology
arb,Arabela,1,No glottalized consonants,-2,-75.16666667,Zaparoan,Zaparoan,Phonology
aeg,Arabic (Egyptian),1,No glottalized consonants,30,31,Semitic,Afro-Asiatic,Phonology
ana,Araona,1,No glottalized consonants,-12.33333333,-67.75,Tacanan,Tacanan,Phonology
arp,Arapesh (Mountain),1,No glottalized consonants,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,2,Ejectives only,42,46.83333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),2,Ejectives only,40,45,Armenian,Indo-European,Phonology
amp,Arrernte (Mparntwe),1,No glottalized consonants,-24,136,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,1,No glottalized consonants,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,Phonology
ata,Atayal,1,No glottalized consonants,24.5,121.3333333,Atayalic,Austronesian,Phonology
ava,Avar,2,Ejectives only,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awp,Awa Pit,1,No glottalized consonants,1.5,-78.25,Barbacoan,Barbacoan,Phonology
awn,Awngi,1,No glottalized consonants,10.83333333,36.66666667,Central Cushitic,Afro-Asiatic,Phonology
aym,Aymara (Central),2,Ejectives only,-17,-69,Aymaran,Aymaran,Phonology
aze,Azerbaijani,1,No glottalized consonants,40.5,48.5,Turkic,Altaic,Phonology
bag,Bagirmi,3,Implosives only,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Phonology
bai,Bai,1,No glottalized consonants,26,100,Bai,Sino-Tibetan,Phonology
baj,Bajau (Sama),1,No glottalized consonants,-4.333333333,123,Sama-Bajaw,Austronesian,Phonology
bki,Bakairí,1,No glottalized consonants,-14,-55,Cariban,Cariban,Phonology
bam,Bambara,1,No glottalized consonants,12.5,-7.5,Western Mande,Mande,Phonology
byu,Bandjalang (Yugumbir),1,No glottalized consonants,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
brd,Bardi,1,No glottalized consonants,-16.58333333,122.9166667,Nyulnyulan,Nyulnyulan,Phonology
brb,Bariba,1,No glottalized consonants,10,2.5,Southern-Central Gur,Niger-Congo,Phonology
bsk,Bashkir,1,No glottalized consonants,53,58,Turkic,Altaic,Phonology
bsq,Basque,1,No glottalized consonants,43,-3,Basque,Basque,Phonology
bkr,Batak (Karo),1,No glottalized consonants,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
bto,Batak (Toba),1,No glottalized consonants,2.5,99,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
baw,Bawm,1,No glottalized consonants,22.5,92.25,Kuki-Chin,Sino-Tibetan,Phonology
bee,Beembe,1,No glottalized consonants,-3.916666667,14.08333333,Bantoid,Niger-Congo,Phonology
bej,Beja,1,No glottalized consonants,18,36,Beja,Afro-Asiatic,Phonology
bco,Bella Coola,2,Ejectives only,52.5,-126.6666667,Bella Coola,Salishan,Phonology
ben,Bengali,1,No glottalized consonants,24,90,Indic,Indo-European,Phonology
bma,Berber (Middle Atlas),1,No glottalized consonants,33,-5,Berber,Afro-Asiatic,Phonology
ber,Berta,2,Ejectives only,10.33333333,34.66666667,Berta,Berta,Phonology
bir,Birom,1,No glottalized consonants,9.666666667,8.833333333,Platoid,Niger-Congo,Phonology
bis,Bisa,1,No glottalized consonants,11.5,-0.5,Eastern Mande,Mande,Phonology
bbf,Bobo Madaré (Northern),1,No glottalized consonants,12.41666667,-4.333333333,Western Mande,Mande,Phonology
bod,Bodo,1,No glottalized consonants,26.83333333,92,Bodo-Garo,Sino-Tibetan,Phonology
brr,Bororo,1,No glottalized consonants,-16,-57,Bororoan,Bororoan,Phonology
brh,Brahui,1,No glottalized consonants,28.5,67,Northern Dravidian,Dravidian,Phonology
bra,Brao,3,Implosives only,14.16666667,107.5,Bahnaric,Austro-Asiatic,Phonology
bre,Breton,1,No glottalized consonants,48,-3,Celtic,Indo-European,Phonology
bri,Bribri,1,No glottalized consonants,9.416666667,-83,Talamanca,Chibchan,Phonology
brw,Bru (Western),1,No glottalized consonants,16.75,104.75,Katuic,Austro-Asiatic,Phonology
bul,Bulgarian,1,No glottalized consonants,42.5,25,Slavic,Indo-European,Phonology
bua,Burarra,1,No glottalized consonants,-12.25,134.5833333,Burarran,Mangrida,Phonology
brm,Burmese,1,No glottalized consonants,21,96,Burmese-Lolo,Sino-Tibetan,Phonology
bur,Burushaski,1,No glottalized consonants,36.5,74.5,Burushaski,Burushaski,Phonology
bet,Bété,3,Implosives only,6.25,-6.25,Kru,Niger-Congo,Phonology
cac,Cacua,1,No glottalized consonants,1.083333333,-70,Cacua-Nukak,Cacua-Nukak,Phonology
cad,Caddo,2,Ejectives only,33.33333333,-93.5,Caddoan,Caddoan,Phonology
cah,Cahuilla,1,No glottalized consonants,33.5,-116.25,California Uto-Aztecan,Uto-Aztecan,Phonology
cax,Campa (Axininca),1,No glottalized consonants,-12,-74,Pre-Andine Arawakan,Arawakan,Phonology
cam,Camsá,1,No glottalized consonants,1.166666667,-77,Camsá,Camsá,Phonology
cnl,Canela,1,No glottalized consonants,-7,-45,Ge-Kaingang,Macro-Ge,Phonology
cnt,Cantonese,1,No glottalized consonants,23,113,Chinese,Sino-Tibetan,Phonology
car,Carib,1,No glottalized consonants,5.5,-56,Cariban,Cariban,Phonology
ctl,Catalan,1,No glottalized consonants,41.75,2,Romance,Indo-European,Phonology
cay,Cayapa,1,No glottalized consonants,0.666666667,-79,Barbacoan,Barbacoan,Phonology
cyv,Cayuvava,1,No glottalized consonants,-13.5,-65.5,Cayuvava,Cayuvava,Phonology
chw,Cham (Western),3,Implosives only,12,105.5,Malayo-Sumbawan,Austronesian,Phonology
cha,Chamorro,1,No glottalized consonants,13.45,144.75,Chamorro,Austronesian,Phonology
cso,Chatino (Sierra Occidental),1,No glottalized consonants,16.25,-97.33333333,Zapotecan,Oto-Manguean,Phonology
chl,Chehalis (Upper),2,Ejectives only,46.58333333,-123,Tsamosan,Salishan,Phonology
che,Cherokee,1,No glottalized consonants,35.5,-83.5,Southern Iroquoian,Iroquoian,Phonology
cck,Chickasaw,1,No glottalized consonants,34,-88,Muskogean,Muskogean,Phonology
cti,Chin (Tiddim),4,Glottalized resonants only,23.33333333,93.66666667,Kuki-Chin,Sino-Tibetan,Phonology
cle,Chinantec (Lealao),1,No glottalized consonants,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Phonology
chq,Chinantec (Quiotepec),4,Glottalized resonants only,17.58333333,-96.66666667,Chinantecan,Oto-Manguean,Phonology
chp,Chipewyan,2,Ejectives only,59,-106,Athapaskan,Na-Dene,Phonology
