wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
abi,Abip??n,-29,-61,AR,206.7,63.00216
abk,Abkhaz,43.08333333,41,GE,675.9,206.01432
abm,Alabama,32.33333333,-87.41666667,US,219.1,66.78168
ach,Ach??,-25.25,-55.16666667,PY,813.6,247.98528
acm,Achumawi,41.5,-121,US,4931.2,1503.02976
aco,Acoma,34.91666667,-107.5833333,US,6236.1,1900.76328
adk,Andoke,-0.666666667,-72,CO,600.4,183.00192
adz,Adzera,-6.25,146.25,PG,1187.7,362.01096
aea,Aleut (Eastern),54.75,-164,US,5659.4,1724.98512
aeg,Arabic (Egyptian),30,31,EG,544.6,165.99408
agh,Aghem,6.666666667,10,CM,2421.3,738.01224
aht,Ahtna,62,-145,US,2453.7,747.88776
aik,Aikan?­,-12.66666667,-60.66666667,BR,1066.3,325.00824
ain,Ainu,43,143,JP,603.7,184.00776
aiz,Aizi,5.25,-4.5,CI,3.3,1.00584
akn,Akan,6.5,-1.25,GH,620.1,189.00648
akw,Akawaio,6,-59.5,GY,456,138.9888
ala,Alamblak,-4.666666667,143.3333333,PG,397,121.0056
alb,Albanian,41,20,AL RS,292,89.0016
ald,Alladian,5.166666667,-4.333333333,CI,0,0
alw,Alawa,-15.16666667,134.25,AU,216.5,65.9892
amc,Amahuaca,-10.5,-72.5,BR PE,1259.8,383.98704
ame,Amele,-5.25,145.5833333,PG,193.6,59.00928
amh,Amharic,10,38,ET,5023,1531.0104
amo,Amo,10.33333333,8.666666667,NG,2486.9,758.00712
amp,Arrernte (Mparntwe),-24,136,AU,836.6,254.99568
amu,Amuesha,-10.5,-75.41666667,PE,6847.1,2086.99608
amz,Amuzgo,16.83333333,-98,MX,992.7,302.57496
ana,Araona,-12.33333333,-67.75,BO,636.5,194.0052
anc,Angas,9.5,9.5,NG,2437.7,743.01096
ani,//Ani,-18.91666667,21.91666667,BW,3257.9,993.00792
ant,Angaatiha,-7.216666667,146.25,PG,6394.4,1949.01312
ao,Ao,26.58333333,94.66666667,IN,1479.7,451.01256
api,Apinay??,-5.5,-48,BR,524.9,159.98952
apu,Apurin?œ,-9,-67,BR,561,170.9928
arb,Arabela,-2,-75.16666667,PE,629.9,191.99352
arc,Archi,42,46.83333333,RU,9147,2788.0056
arm,Armenian (Eastern),40,45,AM,6184.4,1885.00512
arp,Arapesh (Mountain),-3.466666667,143.1666667,PG,2116.1,644.98728
asm,Asmat,-5.5,138.5,ID,52.5,16.002
ata,Atayal,24.5,121.3333333,TW,7086.6,2159.99568
ava,Avar,42.5,46.5,AZ RU,5741.5,1750.0092
awn,Awngi,10.83333333,36.66666667,ET,6955.4,2120.00592
awp,Awa Pit,1.5,-78.25,EC CO,748,227.9904
aym,Aymara (Central),-17,-69,PE CL BO,13008.5,3964.9908
aze,Azerbaijani,40.5,48.5,AZ IR,259.2,79.00416
bag,Bagirmi,11.66666667,16,TD,1092.5,332.994
bai,Bai,26,100,CN,8513.8,2595.00624
baj,Bajau (Sama),-4.333333333,123,ID,0,0
bam,Bambara,12.5,-7.5,ML,1164.7,355.00056
baw,Bawm,22.5,92.25,MM IN BD,324.8,98.99904
bbf,Bobo Madar?? (Northern),12.41666667,-4.333333333,BF,1456.7,444.00216
bco,Bella Coola,52.5,-126.6666667,CA,868.1,264.59688
bee,Beembe,-3.916666667,14.08333333,CG,1509.2,460.00416
bej,Beja,18,36,ER SD,1761.8,536.99664
ben,Bengali,24,90,BD IN,32.8,9.99744
ber,Berta,10.33333333,34.66666667,SD ET,4475.1,1364.01048
bet,B??t??,6.25,-6.25,CI,807.1,246.00408
bir,Birom,9.666666667,8.833333333,NG,4150.3,1265.01144
bis,Bisa,11.5,-0.5,GH BF,771,235.0008
bki,Bakair??,-14,-55,BR,1443.6,440.00928
bkr,Batak (Karo),3.25,98.25,ID,4724.4,1439.99712
bma,Berber (Middle Atlas),33,-5,MA,6627.3,2020.00104
bng,Qaget,-4.583333333,152,PG,2339.2,712.98816
bno,Waimaha,0.333333333,-70.25,CO,620.1,189.00648
bod,Bodo,26.83333333,92,IN,610.2,185.98896
bra,Brao,14.16666667,107.5,VN,1561.7,476.00616
brb,Bariba,10,2.5,BJ NG,1168,356.0064
brd,Bardi,-16.58333333,122.9166667,AU,137.8,42.00144
bre,Breton,48,-3,FR,321.5,97.9932
brh,Brahui,28.5,67,PK,5003.3,1525.00584
bri,Bribri,9.416666667,-83,CR,2329.4,710.00112
brm,Burmese,21,96,MM,541.3,164.98824
brr,Bororo,-16,-57,BR,561,170.9928
brw,Bru (Western),16.75,104.75,LA,439.6,133.99008
bsk,Bashkir,53,58,RU,2034.1,619.99368
bsq,Basque,43,-3,ES FR,885.8,269.99184
bto,Batak (Toba),2.5,99,ID,2952.8,900.01344
bua,Burarra,-12.25,134.5833333,AU,78.7,23.98776
bul,Bulgarian,42.5,25,BG,2611.5,795.9852
bur,Burushaski,36.5,74.5,PK,19540.7,5956.00536
byu,Bandjalang (Yugumbir),-27.91666667,153,AU,219.8,66.99504
cac,Cacua,1.083333333,-70,CO,649.6,197.99808
cad,Caddo,33.33333333,-93.5,US,263.6,80.34528
cah,Cahuilla,33.5,-116.25,US,2230.6,679.88688
cam,Cams?­,1.166666667,-77,CO,7106.3,2166.00024
car,Carib,5.5,-56,SR,36.1,11.00328
cax,Campa (Axininca),-12,-74,PE,1384.5,421.9956
cay,Cayapa,0.666666667,-79,EC,252.6,76.99248
cck,Chickasaw,34,-88,US,564.4,172.02912
ccp,Cocopa,32.33333333,-115,MX US,66.9,20.39112
cha,Chamorro,13.45,144.75,GU,117.6,35.84448
che,Cherokee,35.5,-83.5,US,2869,874.4712
chk,Chukchi,67,-173,RU,0,0
chl,Chehalis (Upper),46.58333333,-123,US,377.2,114.97056
chp,Chipewyan,59,-106,CA,1028.5,313.4868
chq,Chinantec (Quiotepec),17.58333333,-96.66666667,MX,5395.1,1644.42648
chu,Nivacle,-23.5,-60.5,PY,469.2,143.01216
chv,Chuvash,55.5,47.5,RU,629.9,191.99352
