CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Afghanistan,157,160,135,143,174,187,197,224,247,276,273,264,267,271,275,278,283,249,229,282,292,251,240,168,124,179,166,156,148,135,170,168,190,208,226,258,284,383,388,443,551,637,685,670,639,599,572,593,552
8,Albania,"1,053","1,058","1,064","1,069","1,076","1,082","1,090","1,096","1,105",903,798,809,817,810,784,783,787,761,769,903,653,487,467,532,598,769,"1,033",718,821,"1,032","1,115","1,255","1,393","1,784","2,312","2,609","2,904","3,519","4,290","4,051","4,046","4,402","4,228","4,400","4,567","3,939","4,109","4,516","5,224"
12,Algeria,356,361,469,588,821,937,"1,039","1,194","1,457","1,780","2,198","2,233","2,205","2,308","2,427","2,580","2,724","2,706","2,400","2,204","2,397","1,764","1,817","1,840","1,500","1,459","1,600","1,616","1,592","1,585","1,761","1,751","1,784","2,103","2,610","3,113","3,479","3,951","4,924","3,883","4,481","5,456","5,592","5,500","5,493","4,178","3,946","4,044","4,115"
20,Andorra,"4,098","4,426","5,336","6,761","7,996","9,071","9,050","9,807","11,552","14,956","15,660","13,125","12,161","10,151","9,780","9,837","13,111","15,963","18,100","19,191","23,886","24,714","25,999","20,900","20,542","23,359","24,064","23,224","23,908","24,372","21,937","22,229","24,743","32,775","38,505","41,281","43,745","48,580","47,787","43,336","39,734","41,103","38,393","40,629","42,299","36,041","37,223","39,231","42,052"
24,Angola,646,663,656,772,832,590,547,577,622,668,857,775,748,752,769,914,828,921,960,"1,080","1,153","1,321","1,468","1,030","1,026",476,606,688,561,519,745,705,872,983,"1,256","1,902","2,600","3,122","4,081","3,123","3,588","4,615","5,100","5,255","5,408","4,167","3,506","4,096","3,437"
660,Anguilla,576,669,780,872,950,"1,030",980,"1,087","1,250","1,441","1,664","1,930","2,245","2,604","3,015","3,720","4,664","5,577","6,665","7,938","8,496","8,508","9,050","9,702","10,634","10,515","10,827","11,809","12,976","13,426","13,327","13,454","13,387","14,147","16,445","18,398","22,452","27,609","27,124","21,308","19,938","21,470","20,305","20,195","22,060","23,148","21,978","19,281","19,891"
28,Antigua and Barbuda,528,639,880,"1,231","1,323","1,363","1,138","1,300","1,475","1,819","2,173","2,461","2,728","3,031","3,430","3,962","4,703","5,463","6,453","7,076","7,348","7,602","7,744","8,136","8,771","8,407","9,031","9,492","9,940","10,261","10,871","10,367","10,401","10,799","11,449","12,557","13,998","15,623","16,044","14,160","13,049","12,746","13,272","12,910","13,502","14,286","15,198","15,383","16,727"
32,Argentina,"1,423","1,676","1,554","1,722","1,906","1,997","2,083","2,313","2,356","2,691","2,931","2,987","3,023","3,218","3,347","3,162","3,737","3,781","4,342","2,583","4,696","6,215","7,394","7,553","8,118","8,031","8,371","8,905","8,988","8,430","8,358","7,816","2,935","3,687","4,311","5,158","5,966","7,302","9,123","8,309","10,429","12,830","13,925","14,535","13,299","14,971","12,814","14,628","11,688"
51,Armenia,,,,,,,,,,,,,,,,,,,,,651,600,364,348,383,426,538,558,649,637,664,741,835,992,"1,271","1,753","2,301","3,348","4,277","3,193","3,432","3,760","3,682","3,838","3,986","3,607","3,592","3,915","4,212"
533,Aruba,"3,346","3,502","3,664","3,834","4,019","4,224","4,455","4,709","4,982","5,258","5,528","5,777","6,008","6,241","6,507","6,834","7,242","8,823","10,925","12,747","13,770","15,100","15,716","16,712","18,173","17,229","17,380","18,785","19,995","20,283","21,608","21,661","21,413","21,833","23,649","24,419","25,165","27,038","28,346","25,777","24,607","26,149","25,864","26,190","26,647","27,980","28,281","29,006","30,262"
