wals_code,Name,latitude,longitude,family,macroarea,countrycodes,values,description
abk,Abkhaz,43.08333333,41,Northwest Caucasian,Eurasia,GE,1,No tones
acm,Achumawi,41.5,-121,Hokan,North America,US,2,Simple tone system
aco,Acoma,34.91666667,-107.5833333,Keresan,North America,US,3,Complex tone system
adk,Andoke,-0.666666667,-72,Andoke,South America,CO,2,Simple tone system
aea,Aleut (Eastern),54.75,-164,Eskimo-Aleut,North America,US,1,No tones
aeg,Arabic (Egyptian),30,31,Afro-Asiatic,Africa,EG,1,No tones
agh,Aghem,6.666666667,10,Niger-Congo,Africa,CM,2,Simple tone system
aht,Ahtna,62,-145,Na-Dene,North America,US,1,No tones
aik,Aikaná,-12.66666667,-60.66666667,Aikaná,South America,BR,2,Simple tone system
ain,Ainu,43,143,Ainu,Eurasia,JP,2,Simple tone system
akn,Akan,6.5,-1.25,Niger-Congo,Africa,GH,2,Simple tone system
akw,Akawaio,6,-59.5,Cariban,South America,GY,1,No tones
ala,Alamblak,-4.666666667,143.3333333,Sepik,Papunesia,PG,1,No tones
alb,Albanian,41,20,Indo-European,Eurasia,AL RS,1,No tones
ald,Alladian,5.166666667,-4.333333333,Niger-Congo,Africa,CI,2,Simple tone system
alw,Alawa,-15.16666667,134.25,Mangarrayi-Maran,Australia,AU,1,No tones
ame,Amele,-5.25,145.5833333,Trans-New Guinea,Papunesia,PG,1,No tones
amh,Amharic,10,38,Afro-Asiatic,Africa,ET,1,No tones
amo,Amo,10.33333333,8.666666667,Niger-Congo,Africa,NG,2,Simple tone system
amp,Arrernte (Mparntwe),-24,136,Pama-Nyungan,Australia,AU,1,No tones
amu,Amuesha,-10.5,-75.41666667,Arawakan,South America,PE,1,No tones
amz,Amuzgo,16.83333333,-98,Oto-Manguean,North America,MX,3,Complex tone system
ana,Araona,-12.33333333,-67.75,Tacanan,South America,BO,1,No tones
anc,Angas,9.5,9.5,Afro-Asiatic,Africa,NG,3,Complex tone system
ani,//Ani,-18.91666667,21.91666667,Khoe-Kwadi,Africa,BW,2,Simple tone system
ant,Angaatiha,-7.216666667,146.25,Trans-New Guinea,Papunesia,PG,2,Simple tone system
