ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes,Samples_100,Samples_200
aab,Arapesh (Abu),,-3.45,142.95,,,Torricelli,,Kombio-Arapesh,,FALSE,FALSE
aar,Aari,,6,36.58333333,aari1239,aiw,Afro-Asiatic,Omotic,South Omotic,aiw,FALSE,FALSE
aba,Abau,,-4,141.25,abau1245,aau,Sepik,,Upper Sepik,aau,FALSE,FALSE
abb,Arabic (Chadian),,13.83333333,20.83333333,chad1249,shu,Afro-Asiatic,,Semitic,shu,FALSE,FALSE
abd,Abidji,,5.666666667,-4.583333333,abid1235,abi,Niger-Congo,,Kwa,abi,FALSE,FALSE
abe,Arabic (Beirut),,33.91666667,35.5,nort3139,apc,Afro-Asiatic,,Semitic,apc,FALSE,FALSE
abh,Arabic (Bahrain),,26,50.5,baha1259,abv,Afro-Asiatic,,Semitic,abv,FALSE,FALSE
abi,Abipón,,-29,-61,abip1241,axb,Guaicuruan,,South Guaicuruan,axb,FALSE,TRUE
abk,Abkhaz,,43.08333333,41,abkh1244,abk,Northwest Caucasian,,Northwest Caucasian,abk,TRUE,TRUE
abm,Alabama,,32.33333333,-87.41666667,alab1237,akz,Muskogean,,Muskogean,akz,FALSE,FALSE
abn,Arabana,,-28.25,136.25,arab1267,ard,Pama-Nyungan,,Central Pama-Nyungan,ard,FALSE,FALSE
abo,Arbore,,5,36.75,arbo1245,arv,Afro-Asiatic,Cushitic,Lowland East Cushitic,arv,FALSE,FALSE
abu,Abun,,-0.5,132.5,abun1252,kgr,West Papuan,,North-Central Bird's Head,kgr,FALSE,FALSE
abv,Abui,,-8.25,124.6666667,abui1241,abz,Timor-Alor-Pantar,,Greater Alor,abz,FALSE,FALSE
abw,Abenaki (Western),,44,-72.25,west2630,abe,Algic,,Algonquian,abe,FALSE,FALSE
abz,Abaza,,44,42,abaz1241,abq,Northwest Caucasian,,Northwest Caucasian,abq,FALSE,FALSE
ace,Acehnese,,5.5,95.5,achi1257,ace,Austronesian,,Malayo-Sumbawan,ace,FALSE,FALSE
